iter	Logloss
0	0.6740941386
1	0.6614926429
2	0.6508428588
3	0.6393060954
4	0.6269723776
5	0.6188298617
6	0.6064328115
7	0.5977011479
8	0.5878954426
9	0.5786823603
10	0.5729645513
11	0.5616378139
12	0.5568411749
13	0.5500439401
14	0.5435079252
15	0.5367337341
16	0.53387911
17	0.5295906562
18	0.5254574
19	0.5182802323
20	0.5107237874
21	0.5030113444
22	0.498511283
23	0.4938102016
24	0.4875885287
25	0.4813731094
26	0.4758997438
27	0.4714267511
28	0.4663874355
29	0.4613073003
30	0.4565583576
31	0.4531514618
32	0.4475445451
33	0.4427605733
34	0.4372055225
35	0.4318417836
36	0.4256055069
37	0.4233573265
38	0.4186632947
39	0.4156313491
40	0.4112001869
41	0.4093543811
42	0.406864724
43	0.4030912048
44	0.3996795147
45	0.3966729241
46	0.3908584283
47	0.3887946341
48	0.3852310408
49	0.3808778967
50	0.3789573254
51	0.375301671
52	0.3709483528
53	0.3676126866
54	0.3645458491
55	0.3602988009
56	0.3558888286
57	0.3521048078
58	0.347638896
59	0.344135566
60	0.3408996356
61	0.3391439644
62	0.3378546474
63	0.3350258539
64	0.3319563858
65	0.3295594552
66	0.3259983506
67	0.3234504217
68	0.3216353372
69	0.3172615791
70	0.3148721674
71	0.3108356006
72	0.3092306083
73	0.3080643347
74	0.3056586107
75	0.3037994538
76	0.3004851152
77	0.2987434296
78	0.2954997782
79	0.2923285884
80	0.2891414121
81	0.2858084938
82	0.2836129276
83	0.2814010396
84	0.2785987424
85	0.2758492081
86	0.2737482343
87	0.2709787456
88	0.269245463
89	0.2661696266
90	0.2642819101
91	0.2621159537
92	0.2602015117
93	0.2571573834
94	0.2557143627
95	0.2534638947
96	0.2505575426
97	0.249226076
98	0.247363239
99	0.2448845883
100	0.2416953392
101	0.2400054902
102	0.2385541326
103	0.2356615016
104	0.2338181784
105	0.2327806971
106	0.2309089588
107	0.2282379857
108	0.2257181237
109	0.223162118
110	0.2203179459
111	0.2188781424
112	0.2168225358
113	0.2153752961
114	0.2122597692
115	0.2110996662
116	0.2089070271
117	0.2071460292
118	0.2047363775
119	0.2017585193
120	0.2004084228
121	0.1989597106
122	0.1973274957
123	0.1959650749
124	0.1935875357
125	0.1919615412
126	0.1903142221
127	0.1886559505
128	0.1877423476
129	0.185896352
130	0.1847690659
131	0.1832470665
132	0.1816231964
133	0.180333939
134	0.1783784799
135	0.1769256138
136	0.1755198794
137	0.1735603483
138	0.1714324771
139	0.1697261502
140	0.1686047155
141	0.1672847526
142	0.1656010773
143	0.1643044928
144	0.1627827571
145	0.1613683453
146	0.1598328053
147	0.1582629907
148	0.1566174233
149	0.155085099
150	0.1534928015
151	0.1527097911
152	0.1513222729
153	0.1497093448
154	0.1483090783
155	0.1468632927
156	0.1460621453
157	0.1452583773
158	0.1443395686
159	0.1429483188
160	0.1415747185
161	0.140003322
162	0.1386932574
163	0.1375558005
164	0.1366604049
165	0.1347609463
166	0.1339549265
167	0.1328310282
168	0.1317571737
169	0.1310754227
170	0.1301237009
171	0.1283562593
172	0.1273778346
173	0.1259438192
174	0.1248432467
175	0.1234011547
176	0.1222921242
177	0.1215156052
178	0.1207418857
179	0.1190259115
180	0.1178352038
181	0.1169646283
182	0.1153526328
183	0.1143888064
184	0.1136646561
185	0.1119779339
186	0.1110510099
187	0.1104950696
188	0.1095655194
189	0.1090295848
190	0.1082367757
191	0.1067595869
192	0.1055269496
193	0.1046044036
194	0.1036344388
195	0.1027056744
196	0.1016411239
197	0.1009352526
198	0.1001958999
199	0.09949612851
